2.64	2.620.7160 2.64 540 2.64 0.00 -0.54    2.62 536 2.62 0.00 -0.15    99.41 68.22 21.90
96.0610 2.64 556 2.72 11.26 77.66    2.62 531 2.60 0.00 -24.59    99.42 68.56 21.90
97.7630 2.64 562 2.75 4.87 106.99    2.62 539 2.63 0.00 14.51    99.42 68.56 21.90
99.1940 2.64 552 2.70 2.78 58.11    2.62 537 2.62 0.00 4.74    99.42 68.56 21.90
100.8940 2.64 558 2.73 3.96 87.44    2.62 538 2.63 0.00 9.63    99.42 68.56 21.90
102.3240 2.64 552 2.70 2.78 58.11    2.62 537 2.62 0.00 4.74    99.42 68.56 21.90
104.0260 2.64 565 2.76 7.97 121.65    2.62 544 2.66 0.00 38.95    99.42 68.56 21.90
105.4570 2.64 550 2.69 6.90 48.34    2.62 542 2.65 0.00 29.18    99.42 68.56 21.90
107.1580 2.64 561 2.74 12.91 102.10    2.62 534 2.61 0.00 -9.92    99.41 68.56 21.90
108.5920 2.64 556 2.72 7.46 77.66    2.62 543 2.65 0.00 34.06    99.42 68.56 21.90
110.2940 2.64 553 2.70 4.87 63.00    2.62 539 2.63 0.00 14.51    99.42 68.56 21.80
111.7240 2.64 559 2.73 8.46 92.33    2.62 545 2.66 0.00 43.84    99.42 68.56 21.80
113.4270 2.64 559 2.73 6.90 92.33    2.62 542 2.65 0.00 29.18    99.42 68.56 21.80
114.8570 2.64 555 2.71 7.46 72.78    2.62 543 2.65 0.00 34.06    99.42 68.56 21.80
116.5580 2.64 562 2.75 7.97 106.99    2.62 544 2.66 0.00 38.95    99.42 68.56 21.80
117.9910 2.64 555 2.71 10.90 72.78    2.62 536 2.62 0.00 -0.15    99.41 68.56 21.80
119.6940 2.64 553 2.70 7.97 63.00    2.62 544 2.66 0.00 38.95    99.42 68.56 21.80
121.1240 2.64 556 2.72 7.46 77.66    2.62 543 2.65 0.00 34.06    99.42 68.56 21.80
122.8270 2.64 555 2.71 5.63 72.78    2.62 540 2.64 0.00 19.40    99.42 68.56 21.90
124.2580 2.64 556 2.72 7.97 77.66    2.62 544 2.66 0.00 38.95    99.42 68.56 21.90
125.9600 2.64 561 2.74 12.91 102.10    2.62 536 2.62 0.00 -0.15    99.42 68.56 21.80
127.3930 2.64 562 2.75 7.46 106.99    2.62 543 2.65 0.00 34.06    99.42 68.56 21.80
129.0960 2.64 560 2.74 8.46 97.21    2.62 545 2.66 0.00 43.84    99.42 68.56 21.80
130.5270 2.64 550 2.69 7.46 48.34    2.62 543 2.65 0.00 34.06    99.42 68.68 21.80
132.2300 2.64 553 2.70 7.46 63.00    2.62 543 2.65 0.00 34.06    99.42 68.56 21.80
133.6600 2.64 552 2.70 8.46 58.11    2.62 545 2.66 0.00 43.84    99.41 68.56 21.80
135.3620 2.64 553 2.70 10.17 63.00    2.62 549 2.68 0.00 63.39    99.42 68.56 21.80
136.7950 2.64 556 2.72 7.46 77.66    2.62 543 2.65 0.00 34.06    99.42 68.56 21.80
138.4970 2.64 561 2.74 8.46 102.10    2.62 545 2.66 0.00 43.84    99.42 68.56 21.80
139.9280 2.64 556 2.72 5.63 77.66    2.62 540 2.64 0.00 19.40    99.42 68.56 21.80
141.6310 2.64 552 2.70 8.46 58.11    2.62 545 2.66 0.00 43.84    99.42 68.56 21.80
143.0620 2.64 555 2.71 7.46 72.78    2.62 543 2.65 0.00 34.06    99.42 68.56 21.80
144.7620 2.64 557 2.72 7.46 82.55    2.62 543 2.65 0.00 34.06    99.42 68.56 21.70
146.1940 2.64 563 2.75 9.36 111.88    2.62 547 2.67 0.00 53.61    99.42 68.56 21.70
147.8970 2.64 557 2.72 11.61 82.55    2.62 535 2.61 0.00 -5.04    99.42 68.56 21.70
149.3280 2.64 563 2.75 8.92 111.88    2.62 546 2.67 0.00 48.73    99.42 68.56 21.70
151.0320 2.64 564 2.76 5.63 116.76    2.62 540 2.64 0.00 19.40    99.42 68.56 21.80
152.4640 2.64 550 2.69 8.88 48.34    2.62 533 2.61 0.00 -14.81    99.42 68.56 21.80
154.1660 2.64 548 2.68 7.97 38.56    2.62 544 2.66 0.00 38.95    99.42 68.56 21.80
155.5970 2.64 566 2.77 4.87 126.54    2.62 539 2.63 0.00 14.51    99.42 68.56 21.80
157.3000 2.64 555 2.71 10.90 72.78    2.62 535 2.61 0.00 -5.04    99.42 68.56 21.80
158.7320 2.64 554 2.71 12.30 67.89    2.62 555 2.71 0.00 92.72    99.42 68.56 21.80
160.4360 2.64 554 2.71 10.53 67.89    2.62 535 2.61 0.00 -5.04    99.42 68.56 21.80
161.8670 2.64 551 2.69 2.78 53.23    2.62 537 2.62 0.00 4.74    99.42 68.56 21.80
163.5670 2.64 551 2.69 9.32 53.23    2.62 532 2.60 0.00 -19.70    99.42 68.56 21.80
165.0000 2.64 557 2.72 4.87 82.55    2.62 539 2.63 0.00 14.51    99.42 68.56 21.80
166.7020 2.64 555 2.71 6.30 72.78    2.62 541 2.64 0.00 24.29    99.42 68.56 21.80
168.1320 2.64 556 2.72 6.90 77.66    2.62 542 2.65 0.00 29.18    99.42 68.56 21.80
169.8350 2.64 559 2.73 4.87 92.33    2.62 539 2.63 0.00 14.51    99.42 68.56 21.80
171.2660 2.64 551 2.69 9.32 53.23    2.62 536 2.62 0.00 -0.15    99.42 68.56 21.80
172.9670 2.64 554 2.71 7.46 67.89    2.62 543 2.65 0.00 34.06    99.42 68.56 21.70
174.3980 2.64 558 2.73 8.46 87.44    2.62 545 2.66 0.00 43.84    99.42 68.56 21.70
176.1010 2.64 558 2.73 8.46 87.44    2.62 545 2.66 0.00 43.84    99.42 68.56 21.80
177.5310 2.64 560 2.74 2.78 97.21    2.62 537 2.62 0.00 4.74    99.42 68.56 21.80
179.2320 2.64 557 2.72 9.36 82.55    2.62 547 2.67 0.00 53.61    99.43 68.56 21.70
180.6640 2.64 554 2.71 2.78 67.89    2.62 537 2.62 0.00 4.74    99.42 68.56 21.70
182.3650 2.64 561 2.74 7.46 102.10    2.62 543 2.65 0.00 34.06    99.42 68.56 21.70
183.7960 2.64 552 2.70 6.30 58.11    2.62 541 2.64 0.00 24.29    99.43 68.56 21.70
185.4990 2.64 564 2.76 10.17 116.76    2.62 549 2.68 0.00 63.39    99.42 68.56 21.70
186.9320 2.64 556 2.72 5.63 77.66    2.62 540 2.64 0.00 19.40    99.42 68.56 21.70
188.6330 2.64 557 2.72 6.90 82.55    2.62 542 2.65 0.00 29.18    99.42 68.56 21.70
190.0640 2.64 556 2.72 8.46 77.66    2.62 545 2.66 0.00 43.84    99.43 68.68 21.70
191.7660 2.64 547 2.67 7.46 33.68    2.62 543 2.65 0.00 34.06    99.43 68.68 21.70
193.1970 2.64 551 2.69 9.32 53.23    2.62 533 2.61 0.00 -14.81    99.42 68.68 21.70
194.9000 2.64 555 2.71 4.87 72.78    2.62 539 2.63 0.00 14.51    99.42 68.56 21.70
196.3310 2.64 558 2.73 2.78 87.44    2.62 537 2.62 0.00 4.74    99.42 68.68 21.70
198.0310 2.64 551 2.69 6.30 53.23    2.62 541 2.64 0.00 24.29    99.42 68.68 21.70
199.4620 2.64 558 2.73 9.77 87.44    2.62 548 2.68 0.00 58.50    99.43 68.68 21.70
201.1640 2.64 556 2.72 7.97 77.66    2.62 544 2.66 0.00 38.95    99.43 68.68 21.70
202.5950 2.64 547 2.67 10.93 33.68    2.62 551 2.69 0.00 73.17    99.43 68.68 21.70
204.2990 2.64 549 2.68 9.77 43.45    2.62 548 2.68 0.00 58.50    99.42 68.68 21.70
205.7290 2.64 558 2.73 4.87 87.44    2.62 539 2.63 0.00 14.51    99.42 68.68 21.70
207.4300 2.64 546 2.67 9.36 28.79    2.62 547 2.67 0.00 53.61    99.43 68.68 21.80
208.8620 2.64 563 2.75 4.87 111.88    2.62 539 2.63 0.00 14.51    99.43 68.68 21.80
210.5650 2.64 558 2.73 6.90 87.44    2.62 542 2.65 0.00 29.18    99.43 68.68 21.70
211.9950 2.64 557 2.72 4.87 82.55    2.62 539 2.63 0.00 14.51    99.43 68.68 21.70
213.6980 2.64 555 2.71 9.77 72.78    2.62 548 2.68 0.00 58.50    99.43 68.68 21.70
